atNo	atNo2	atNoSelfTest	atNoSelfTest2	idNo	idNo2	idNo3	manufacturer	testName	targetAntigen	cqLow	cqMid	cqHigh	totalSensitivity	passedSensitivityCriteria	omicronDetection
AT005/20				41FK10			Abbott Rapid Diagnostics Jena GmbH	Panbio™ COVID-19 Ag Rapid Test Device (NASOPHARYNGEAL)	N	100,00%	60,90%	0,00%	64,00%	y	y
AT018/21							Abioteq	Cora Gentest-19	N	100,00%	45,00%	0,00%	58,00%	y	y
AT084/21				ABT-IDTB367			AccuBioTech Co.,Ltd.	Accu-Tell Rapid In-vitro Diagnostiktest	N	100,00%	75,00%	0,00%	70,00%	y	y
AT155/20		AT1217/21		L031-11815			ACON Biotech (Hangzhou) Co., Ltd	Flowflex SARS-CoV-2-Antigenschnelltest	N	94,10%	4,30%	0,00%	34,00%	y	y
AT1024/21							Acro Diagnostics Co., Ltd	SARS-CoV-2 Antigen Rapid Detection Kit (LFA)	N	100,00%	100,00%	80,00%	96,00%	y	n
AT363/20				840001			Aesku Diagnostics GmbH	Aesku Rapid SARS-CoV-2 Rapid Test	N	82,40%	17,40%	0,00%	36,00%	y	y
AT181/21				1166-25			Affimedix	TestNOW® COVID-19-Antigen-Test	N	100,00%	47,80%	0,00%	58,00%	y	y
AT303/20				RICOV2			Amazing Biotech (Shanghai) Co., Ltd	CoroVisio Covid-19 Ag Versieglungsröhrchen Teststreifen (Kolloidales Gold)	N	76,50%	8,70%	0,00%	30,00%	y	y
AT033/20				RT2952			Ameda Labordiagnostik GmbH	AMP Rapid Test SARS-CoV-2 Ag	N	100,00%	78,30%	0,00%	70,00%	y	n
AT412/21				MU00325			Amper,Inc.	Amper COVID-19 Antigen Rapid Testing Kit (Colloidal Gold)	N	100,00%	100,00%	40,00%	88,00%	y	y
AT147/20		AT1332/21	AT1333/21	A6061202			Anbio (Xiamen) Biotechnology Co., Ltd	Rapid Covid-19 Antigen Test (Colloidal Gold )	N	100,00%	52,20%	0,00%	58,00%	y	n
AT031/20		AT1190/21	AT1288/21				Anhui Deepblue Medical Technology Co. , Ltd.	COVID-19 (SARS CoV-2) Antigen Test Kit (Colloidal Gold)	N	100,00%	39,10%	0,00%	52,00%	y	y
AT785/21				FCB-103			Anhui Formaster Biosci Co., Ltd	New Coronavirus (COVID-19) Antigen Rapid Test	N	100,00%	50,00%	10,00%	62,00%	y	y
AT518/20				A03-50-422			Artron Laboratories Inc.	COVID-19 Antigentest	N	100,00%	95,00%	20,00%	82,00%	y	n
AT431/20				AM3474-K			ASAN PHARM.CO.,LTD.	Asan Easy Test COVID-19 Ag	N	100,00%	69,60%	0,00%	66,00%	y	y
AT1030/21		AT1354/21		COV-S23			Assure Tech (Hangzhou) Co.,Ltd	ECOTEST COVID-19 Antigen Rapid Test Device	N	95,00%	50,00%	0,00%	58,00%	y	y
AT791/21				MY28			Asterion Otel Insaat Bilisim Medikal Maden Tic.Ltd.Sti.	AS-check COVID-19 Antigen Schnelltest	N	85,00%	5,00%	0,00%	36,00%	y	y
AT132/20				nCOV-500			Atlas Link Technology Co.,Ltd.	Nova Test SARS-CoV-2 Antigen Rapid Test Kit	N	100,00%	60,90%	0,00%	62,00%	y	n
AT441/20				8004664			Avalun	Ksmart® SARS-COV2 Antigen Rapid Test	N	94,10%	13,00%	0,00%	38,00%	y	n
AT374/20				88 99 19			AXIOM Gesellschaft für Diagnostica und Biochemica mbH	Axiom Diagnostics COVID-19 Ag Schnelltest	N	100,00%	52,20%	0,00%	58,00%	y	n
AT061/20				B62000			Azure Biotech Inc.	Dia Sure Covid-19 Antigen Rapid Test Device (Nasopharyngeal/Oropharyngeal Swab)	N	76,50%	13,00%	20,00%	36,00%	y	y
AT074/20		AT1285/21	AT1286/21				Beijing Beier Bioengineering Co., Ltd.	Covid-19 Antigen Schnelltest	N	77,80%	0,00%	0,00%	28,00%	y	y
AT967/21				P2311			Beijing Homa Biological Engineering Co., Ltd.	COVID-19 Antigen Test Kit	N	100,00%	35,00%	0,00%	54,00%	y	y
AT120/20		AT1236/21					Beijing Hotgen Biotech Co., Ltd.	Novel Coronavirus 2019-nCoV Antigen Test (Colloidal gold)	N	100,00%	47,80%	0,00%	56,00%	y	y
AT205/20				C3042			Beijing Jinwofu Bioengineering Technology Co.,Ltd.	Jinwofu Novel Coronavirus (SARS-COV-2) Antigen Rapid Test Kit	N	100,00%	50,00%	0,00%	60,00%	y	y
AT313/20				601460			Beijing Kewei Clinical Diagnostic Reagent Inc.	COVID-19 Antigen Rapid Test Kit	N	95,00%	0,00%	0,00%	38,00%	y	y
AT216/20	AT052/20						Beijing Lepu Medical Technology Co., Ltd	SARS-CoV-2 Antigen Rapid Test Kit	N	100,00%	26,10%	0,00%	46,00%	y	n
AT820/21				00013C			Beijing O&D Biotech Co., Ltd.	Covid-19 Antigen Rapid Test (Colloidal Gold)	N	100,00%	75,00%	10,00%	72,00%	y	y
AT122/21				TG1417			Beijing Tigsun Diagnostics Co.;Ltd.	Tigsun COVID-19 Saliva Antigen Rapid Test	N	100,00%	87,00%	30,00%	80,00%	y	y
AT022/21				WJ-2850			Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.	Wantai SARS-CoV-2 Ag Rapid Test (FIA)	N	100,00%	78,30%	0,00%	72,00%	y	n
AT496/20		AT1265/21		WJ-2910			Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.	Wantai SARS-CoV-2 Ag Schnelltest (Kolloidales Gold)	N	100,00%	25,00%	0,00%	50,00%	y	n
AT284/21				B255C			Biocan Diagnostics Inc.	Tell Me Fast Rapid Diagnostic Test	N	95,00%	10,00%	0,00%	42,00%	y	n
AT787/21				GMT102			BioDetect (Xiamen) Biotechnology Co., Ltd	SARS-Cov-2-Antigen-Schnelltest-Karte	N	95,00%	15,00%	0,00%	44,00%	y	y
AT879/21				209.01.25.01			Biohit Healthcare (Hefei) Co., Ltd.	SARS-CoV-2 Antigen Rapid Test (Colloidal Gold Method)	N	100,00%	95,00%	20,00%	82,00%	y	y
AT172/21				1-367-K020			BioMaxima S.A.	SARS-CoV-2 Ag Rapid Test	N	100,00%	60,00%	0,00%	64,00%	y	y
AT007/21				1509A-I			BIOMERICA Inc.	COVID-19-Antigen-Schnelltest (Nasopharyngeal-Abstrich)	N	100,00%	30,40%	0,00%	48,00%	y	n
AT014/20				RG1901DG			BIONOTE	NowCheck® COVID-19 Ag Test	N	100,00%	65,20%	0,00%	66,00%	y	y
